food_code,food_name,scientific_name,local_name,food_group,no._of_regions,tags,energy_kcal,moisture,total_fat,dietary_fiber,carbohydrate,protein,essential_amino_acids,saturated_fatty_acids,unsaturated_fatty_acids,essential_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,free_sugars,aluminium_(al),calcium_(ca),chromium_(cr),iron_(fe),magnesium_(mg),phosphorus_(p),potassium_(k),sodium_(na),zinc_(zn)
D040,"Colocasia, stem, black",Colocasia antiquorum,A. kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Kawang iong; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade.,Other Vegetables,1,vegetarian eggetarian fishetarian veg,23.9,91.15,0.34,3.01,3.83,0.76,0.7391,0.103,0.16898,0.15436,0.01498,0.154,0.53,0.0,0.02946,1.5e-05,0.00077,0.01107,0.02031,0.381,0.00045,0.00054
D041,"Colocasia, stem, green",Colocasia antiquorum,A. Kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Ka wang jyrngam; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade.,Other Vegetables,5,vegetarian eggetarian fishetarian veg,19.359,92.67,0.22,2.33,2.86,0.91,0.872053,0.06753,0.11778,0.11028,0.00778,0.11,0.25,0.0,0.04021,2e-05,0.00055,0.01956,0.03073,0.414,0.0006,0.0002
D042,"Corn, Baby",Zea mays,Kash. Makai; Kh. Riewhadem lung; M. Chujaak; P. Shoti shalli.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,73.134,75.44,1.33,6.09,11.66,2.69,2.595043,0.211,0.851,0.45869,0.392,0.459,0.49,0.0,0.07651,2e-06,0.00145,0.02547,0.00869,0.26,0.0014,0.00113
D043,"Cucumber, green, elongate",Cucumis sativus,"A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; Mal. Vellarikka; M. Thabi; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,19.598,92.96,0.16,2.14,3.48,0.71,0.61415,0.06417,0.0785,0.06793,0.01057,0.06793,0.27,7e-05,0.01639,6e-06,0.00046,0.02038,0.02834,0.183,0.00633,0.00017
D044,"Cucumber, green, short",Cucumis sativus,"A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; M. Thabi; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,17.447,93.52,0.18,2.13,2.82,0.83,0.733886,0.06777,0.06023,0.05183,0.0084,0.05183,0.21,5e-05,0.01925,5e-06,0.00059,0.01848,0.02974,0.198,0.00611,0.00019
D045,"Cucumber, orange, round",Cucumis sativus,A. Tiyoh; B. Sosha; G. Kakdi; H. Kakadi; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia pyllon; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.,Other Vegetables,2,vegetarian eggetarian fishetarian veg,19.598,92.8,0.24,2.46,3.01,0.98,0.90454,0.0719,0.07611,0.0687,0.00741,0.0687,0.22,0.0,0.02198,6e-06,0.00045,0.02034,0.02317,0.185,0.00816,0.00016
D046,Drumstick,Moringa oleifera,"A. Sajina; B. Sajna danta; E. Horseradish, Benzoil; G. Saragavo; H. Saijan-ki-phalli; Kan. Nugga kayi; Kh. Dieng sajana; Mal. Muringakkai; M. Sajana; Mar. Shevanga sheng; O. Sajana chhuin; P. Suhanjana di phalliya; Tam. Murungakkai; Tel. Mulakaada; U. Sujne ki palli.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,29.397,85.39,0.12,6.83,3.76,2.62,2.417212,0.02905,0.07361,0.02721,0.0464,0.02721,1.47,9e-05,0.0333,8e-06,0.00073,0.0381,0.05287,0.419,0.02238,0.00031
D047,"Field beans, tender, broad",Vicia faba,"A. Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Vidaiavarai; Tel. Chikkudu ginjalu; U. Sem ki palli.",Other Vegetables,2,vegetarian eggetarian fishetarian veg,30.831,86.98,0.64,5.64,2.75,3.06,2.838456,0.182,0.33491,0.30074,0.03391,0.301,0.95,0.0,0.07057,6e-06,0.00195,0.05088,0.0733,0.345,0.01414,0.00064
D048,"Field beans, tender, lean",Vicia faba,"A.Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tel. Chikkudu ginjalu; Tam. Vidaiavarai; U. Sem ki palli.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,33.46,85.57,0.6,6.19,2.85,3.71,3.557148,0.175,0.30728,0.28104,0.02628,0.281,0.76,0.00013,0.05859,7e-06,0.00148,0.04742,0.07654,0.314,0.01276,0.00063
D049,"French beans, country",Phaseolus vulgaris,A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin phyrngop; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.,Other Vegetables,5,vegetarian eggetarian fishetarian veg,24.378,89.14,0.26,4.38,2.68,2.49,2.259675,0.07107,0.13813,0.1274,0.01113,0.127,1.06,0.00026,0.05599,7e-06,0.00125,0.04301,0.05986,0.324,0.00884,0.0005
