retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,UK-11-901,A502,"Couscous, plain, raw",ukfct,1549,364,79.2,12.0,2.1,2.3,3.7, 300.00, 260.00, 840.00,0.0,28,238,59,4,287,2.00,0.36,5,NA,1.07,NA,1.8,0,0.13,NA,NA,,NA,28,0.28,0.06,2.6,0.59,0.15,3.2,28,0,0
151,UK-14-073,E501,Cranberries,ukfct,65,15,3.4,0.4,0.1,3.4,,Tr,Tr,Tr,0.0,12,11,7,2,95,0.70,0.05,Tr,NA,0.10,NA,0.2,0,N,NA,NA,,NA,2,0.03,0.02,0.1,0.22,0.07,N,2,13,22
,UK-17-358,U505,Cream of tartar,ukfct,1005,239,0.0,0.0,0.0,0.0,,   0.00,   0.00,   0.00,0.0,0,0,0,0,20780,0.00,0.00,0,NA,0.00,NA,0.0,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-12-332,L519,"Cream, fresh, single",ukfct,798,193,2.2,3.3,19.1,2.2,0.0,12150.00,5070.00, 630.00,55.0,89,79,8,29,104,Tr,Tr,N,NA,Tr,NA,0.3,291,0.47,NA,NA,,NA,5,0.03,0.19,0.1,0.30,0.03,2.8,5,1,169
,UK-12-333,L512,"Cream, fresh, whipping",ukfct,1568,381,2.7,2.0,40.3,2.7,0.0,25230.00,11690.00,1130.00,105.0,58,59,6,25,86,Tr,Tr,N,NA,Tr,NA,0.2,399,1.32,NA,NA,,NA,7,0.02,0.17,Tr,0.22,0.04,1.4,7,1,247
3776,UK-13-234,D500,"Curly kale, raw",ukfct,140,33,1.4,3.4,1.6,1.3,N, 200.00, 100.00, 900.00,0.0,130,61,34,43,450,1.70,0.03,2,NA,0.80,NA,0.4,0,1.70,NA,NA,623.00,NA,120,0.08,0.09,1.0,0.09,0.26,0.5,120,110,3145
151,UK-14-074,E510,Currants,ukfct,1139,267,67.8,2.3,0.4,67.8,,N,N,N,0.0,93,71,30,14,720,1.30,0.81,N,NA,0.70,NA,0.3,0,N,NA,NA,,NA,4,0.16,0.05,0.9,0.07,0.23,4.8,4,Tr,6
,UK-13-876,G520,Curry powder,ukfct,979,233,26.1,9.5,10.8,N,N,N,N,N,0.0,640,270,280,450,1830,58.30,1.04,N,NA,4.70,NA,4.1,0,N,NA,NA,,NA,56,0.25,0.28,3.5,N,0.10,N,56,1,100
,UK-11-1138,K503,Custard powder,ukfct,1508,354,92.0,0.6,0.7,Tr,N, 100.00, 100.00, 300.00,0.0,2,17,2,378,3,0.10,0.05,Tr,NA,N,NA,0.5,0,Tr,NA,NA,,NA,2,0.02,Tr,Tr,Tr,Tr,Tr,2,0,0
,UK-17-299,X508,"Dips, sour-cream based, assorted flavours",ukfct,1482,360,4.0,2.9,37.0,2.0,N,N,N,N,60.0,72,79,10,330,130,0.40,0.98,Tr,NA,0.10,NA,0.9,N,N,NA,NA,,NA,N,N,N,N,N,N,N,N,N,N
